review_id,rating,review_text,date,platform
COFF01,5,这家咖啡厅的环境太棒了，咖啡豆也很新鲜，每次来都心情很好。,2026-04-20,美团
COFF02,4,牛角包酥脆可口，拿铁味道不错，就是价格小贵。,2026-04-21,美团
COFF03,3,中规中矩吧，没什么特别的，咖啡味道一般。,2026-04-22,大众点评
COFF04,2,等了太久，而且没有人解释情况。,2026-04-23,大众点评
COFF05,4,每月必来的咖啡店，甜品和咖啡都很赞！,2026-04-24,小红书
COFF05,4,每月必来的咖啡店，甜品和咖啡都很赞！,2026-04-25,小红书
COFF06,1,太差了！咖啡居然是冷的，服务员态度还特别差！,2026-04-25,小红书
COFF07,4,环境很安静适合办公，WiFi也快，充电口也多。,2026-04-26,美团
COFF08,1,咖啡里有异物！太恶心了，卫生状况堪忧。,2026-04-27,大众点评
COFF09,5,强烈推荐他们的手冲咖啡，咖啡师很专业。,2026-04-28,大众点评
COFF10,3,,2026-04-29,美团
COFF11,4,店员小姐姐很热情，冰美式也好喝。,2026-04-30,小红书
COFF12,2,点了两杯等了半小时，说好的15分钟呢？,2026-05-01,美团
COFF13,1,地板油腻腻的，洗手间也不干净，卫生太差了。,2026-05-02,美团
COFF14,3,价格稍微高了点，但环境确实不错，适合拍照。,2026-05-03,大众点评
